id,account_number,account_type,status,customer_name,customer_email,customer_phone,balance,interest_rate,daily_withdrawal_limit,created_at,updated_at,last_transaction_date,address_line1,address_line2,city,state,postal_code,country,transaction_id,transaction_type,amount,balance_before,balance_after,description,reference_number,external_account_number,external_bank_name,external_routing_number,processed_at,fee_amount,account_id,transfer_id,to_account_number,to_account_name,to_bank_name,to_routing_number,transfer_type,memo,scheduled_date,transfer_fee,exchange_rate,processing_time_hours,requires_approval,approved_by,approval_date,completed_at,credit_transaction_id,debit_transaction_id,from_account_id,to_account_id
237,025845216385,CHECKING,ACTIVE,Andrew Garcia,williamcooper@example.com,267.567.3630x652,6382.05,0.0438,1000.0,2025-07-21 11:11:32.753278+00:00,2025-07-21 11:11:32.790329+00:00,2025-07-21 11:11:32.518152+00:00,976 Gregory Court,Suite 146,West Alexandria,Georgia,55459,Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,179822684147,SAVINGS,ACTIVE,Aaron Pugh,walkeradriana@example.org,(680)641-7189x48207,545.88,0.0443,1000.0,2025-07-21 11:11:32.755979+00:00,2025-07-21 11:11:32.818831+00:00,2025-07-21 11:11:32.185275+00:00,94276 Tracy Stravenue,,Jacobsonstad,South Carolina,78562,Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,985165454063,INVESTMENT,ACTIVE,John Chen,angelapalmer@example.net,249.950.3794x379,285.38,0.015,2000.0,2025-07-21 11:11:32.750578+00:00,2025-07-21 11:11:32.820570+00:00,2025-07-21 11:11:32.185275+00:00,28453 Andrews Throughway,Suite 149,New Crystal,Louisiana,30254,Niue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,725874091229,CHECKING,ACTIVE,Calvin Lewis,ruth96@example.net,(298)230-2775x72456,443.37,0.032,1000.0,2025-07-21 11:11:32.747610+00:00,2025-07-21 11:11:32.810604+00:00,2025-07-21 11:11:32.680712+00:00,9524 Krause Way Apt. 557,,Hallmouth,Maine,88854,Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9484,,,COMPLETED,,,,,,,2025-07-21 11:11:32.757785+00:00,,,,,,,,,5309e572-ce39-420b-8dc8-7030db0314d2,REVERSAL,464.43,0.0,464.43,Transaction reversal,bdbc8880-9,,,,2025-02-12 21:01:38.227373+00:00,0.0,237.0,,,,,,,,,,,,,,,,,,,
9485,,,COMPLETED,,,,,,,2025-07-21 11:11:32.760211+00:00,,,,,,,,,28b9282a-2f7a-42bd-b19b-c0e2db906bb3,WITHDRAWAL,244.91,464.43,215.95,Debit card purchase,8ee5cc77-5,,,,2025-03-11 16:51:11.798869+00:00,3.57,237.0,,,,,,,,,,,,,,,,,,,
9486,,,PENDING,,,,,,,2025-07-21 11:11:32.761998+00:00,,,,,,,,,796509a9-059f-4d9e-9bc0-732e7d20c51a,FEE,17.88,0.0,-17.88,Wire transfer fee,4cb05a8d-4,,,,2025-01-19 06:23:33.869833+00:00,0.0,238.0,,,,,,,,,,,,,,,,,,,
9487,,,COMPLETED,,,,,,,2025-07-21 11:11:32.763809+00:00,,,,,,,,,30c9603d-6796-456c-8a9b-e921dd19bda7,DEPOSIT,2756.34,215.95,2972.29,Cash deposit,f752eb70-9,,,,2024-11-22 03:38:54.576395+00:00,0.0,237.0,,,,,,,,,,,,,,,,,,,
9488,,,COMPLETED,,,,,,,2025-07-21 11:11:32.765617+00:00,,,,,,,,,c8784ef6-fdd8-41d6-8a7d-5ee42156fcdc,DEPOSIT,4398.08,2972.29,7370.37,Check deposit,73d2bcee-d,,,,2024-09-14 16:08:10.837492+00:00,0.0,237.0,,,,,,,,,,,,,,,,,,,
9489,,,PENDING,,,,,,,2025-07-21 11:11:32.767397+00:00,,,,,,,,,546d35d5-858e-4343-9547-6dc2725d3172,DEPOSIT,870.86,7370.37,8241.23,ATM deposit,6b8590cf-8,,,,2025-02-18 16:12:43.660611+00:00,0.0,237.0,,,,,,,,,,,,,,,,,,,
9490,,,PENDING,,,,,,,2025-07-21 11:11:32.769105+00:00,,,,,,,,,4e1be41b-54ee-45ac-8e9c-55e5f6806672,WITHDRAWAL,555.67,8241.23,7685.56,Cash withdrawal at branch,a9b860da-d,,,,2025-01-28 13:00:28.848034+00:00,0.0,237.0,,,,,,,,,,,,,,,,,,,
9491,,,PENDING,,,,,,,2025-07-21 11:11:32.770749+00:00,,,,,,,,,9b7bc35b-939c-4baf-a0ff-3ead3ded8df9,INTEREST,0.0,0.0,0.0,Monthly interest payment,1d22ef4e-d,,,,2024-08-03 23:36:43.287250+00:00,0.0,236.0,,,,,,,,,,,,,,,,,,,
9492,,,COMPLETED,,,,,,,2025-07-21 11:11:32.777035+00:00,,,,,,,,,391a21a3-508c-4816-91f5-e803ead575c0,TRANSFER_OUT,260.41,7685.56,7425.15,Transfer to John Chen,24b793f0-a,,,,2025-07-21 11:11:32.048856+00:00,0.0,237.0,,,,,,,,,,,,,,,,,,,
9493,,,COMPLETED,,,,,,,2025-07-21 11:11:32.778745+00:00,,,,,,,,,6fe6ff7b-2c2e-4313-81a8-2e1b34f86549,TRANSFER_IN,260.41,0.0,260.41,Transfer from Andrew Garcia,24b793f0-a,025845216385,,,2025-07-21 11:11:32.048856+00:00,0.0,236.0,,,,,,,,,,,,,,,,,,,
9494,,,COMPLETED,,,,,,,2025-07-21 11:11:32.783376+00:00,,,,,,,,,588dd40d-2490-4181-b09d-e68bbdceb87d,TRANSFER_OUT,86.1,260.41,174.31,Transfer to Calvin Lewis,7699654d-0,,,,2025-07-21 11:11:32.891177+00:00,0.0,236.0,,,,,,,,,,,,,,,,,,,
9495,,,COMPLETED,,,,,,,2025-07-21 11:11:32.785024+00:00,,,,,,,,,50749145-cc8e-4a0a-ab24-73dd5e6b52e4,TRANSFER_IN,86.1,0.0,86.1,Transfer from John Chen,7699654d-0,985165454063,,,2025-07-21 11:11:32.891177+00:00,0.0,235.0,,,,,,,,,,,,,,,,,,,
9496,,,COMPLETED,,,,,,,2025-07-21 11:11:32.789604+00:00,,,,,,,,,2eeb91d5-29a6-40eb-9570-20caa4c603c7,TRANSFER_OUT,1043.1,7425.15,6382.05,Transfer to Calvin Lewis,f6c9031a-f,,,,2025-07-21 11:11:32.518152+00:00,0.0,237.0,,,,,,,,,,,,,,,,,,,
9497,,,COMPLETED,,,,,,,2025-07-21 11:11:32.791216+00:00,,,,,,,,,b6bd0744-e0ae-4366-b5f4-2cfa5b7c92a6,TRANSFER_IN,1043.1,86.1,1129.2,Transfer from Andrew Garcia,f6c9031a-f,025845216385,,,2025-07-21 11:11:32.518152+00:00,0.0,235.0,,,,,,,,,,,,,,,,,,,
9498,,,COMPLETED,,,,,,,2025-07-21 11:11:32.796041+00:00,,,,,,,,,3e65dfd4-79fd-4384-9023-af8d0d2dab8d,TRANSFER_OUT,255.14,1129.2,874.06,Transfer to Aaron Pugh,6db5ee8f-f,,,,2025-07-21 11:11:32.021060+00:00,0.0,235.0,,,,,,,,,,,,,,,,,,,
9499,,,COMPLETED,,,,,,,2025-07-21 11:11:32.797721+00:00,,,,,,,,,5d9e11e9-1838-447e-abb7-1b49db58c0be,TRANSFER_IN,255.14,-17.88,237.26,Transfer from Calvin Lewis,6db5ee8f-f,725874091229,,,2025-07-21 11:11:32.021060+00:00,0.0,238.0,,,,,,,,,,,,,,,,,,,
9500,,,COMPLETED,,,,,,,2025-07-21 11:11:32.802120+00:00,,,,,,,,,8adba304-e8b7-44ab-930c-29d492e4ed1e,TRANSFER_OUT,32.03,237.26,205.23,Transfer to Calvin Lewis,232a9831-4,,,,2025-07-21 11:11:32.306991+00:00,0.0,238.0,,,,,,,,,,,,,,,,,,,
9501,,,COMPLETED,,,,,,,2025-07-21 11:11:32.803720+00:00,,,,,,,,,dec25d18-e71a-4251-ba45-285a6b3a24c4,TRANSFER_IN,32.03,874.06,906.09,Transfer from Aaron Pugh,232a9831-4,179822684147,,,2025-07-21 11:11:32.306991+00:00,0.0,235.0,,,,,,,,,,,,,,,,,,,
9502,,,COMPLETED,,,,,,,2025-07-21 11:11:32.809890+00:00,,,,,,,,,65da5701-e8e7-4e77-a184-a741e707c1d3,TRANSFER_OUT,451.72,906.09,454.37,Transfer to Aaron Pugh,0283387c-8,,,,2025-07-21 11:11:32.680712+00:00,0.0,235.0,,,,,,,,,,,,,,,,,,,
9503,,,COMPLETED,,,,,,,2025-07-21 11:11:32.811500+00:00,,,,,,,,,61bc4679-0f9c-47cb-8909-0fefafec4ef0,TRANSFER_IN,451.72,205.23,656.95,Transfer from Calvin Lewis,0283387c-8,725874091229,,,2025-07-21 11:11:32.680712+00:00,0.0,238.0,,,,,,,,,,,,,,,,,,,
9504,,,COMPLETED,,,,,,,2025-07-21 11:11:32.818100+00:00,,,,,,,,,33b7f6c4-a7dc-461c-810c-4d222e328936,TRANSFER_OUT,111.07,656.95,545.88,Transfer to John Chen,a3ea3b46-8,,,,2025-07-21 11:11:32.185275+00:00,0.0,238.0,,,,,,,,,,,,,,,,,,,
9505,,,COMPLETED,,,,,,,2025-07-21 11:11:32.819807+00:00,,,,,,,,,8f29ef24-5ab1-4143-ab7e-aabdd89c309b,TRANSFER_IN,111.07,174.31,285.38,Transfer from Aaron Pugh,a3ea3b46-8,179822684147,,,2025-07-21 11:11:32.185275+00:00,0.0,236.0,,,,,,,,,,,,,,,,,,,
7066,,,COMPLETED,,,,,,,2025-07-21 11:11:32.808220+00:00,2025-07-21 11:11:32.813115+00:00,,,,,,,,,,451.72,,,,,,,,,,,0283387c-84c3-4881-8804-20c9e60cb074,,,,,INTERNAL,,,0.0,1.0,0.0,False,,,2025-07-21 11:11:32.680712+00:00,9503.0,9502.0,235.0,238.0
7067,,,PENDING,,,,,,,2025-07-21 11:11:32.814125+00:00,2025-07-21 11:11:32.814128+00:00,,,,,,,,,,113.2,,,,,,,,,,,e170bcfd-4a80-46b4-9120-1638267b09db,,,,,INTERNAL,,,0.0,1.0,0.0,False,,,,,,238.0,237.0
7068,,,PENDING,,,,,,,2025-07-21 11:11:32.815183+00:00,2025-07-21 11:11:32.815188+00:00,,,,,,,,,,23.21,,,,,,,,,,,9911f4fd-b4c6-4805-93aa-c10a15c0b9cd,,,,,INTERNAL,Them can see better rather painting.,,0.0,1.0,0.0,False,,,,,,236.0,237.0
7069,,,COMPLETED,,,,,,,2025-07-21 11:11:32.816180+00:00,2025-07-21 11:11:32.821328+00:00,,,,,,,,,,111.07,,,,,,,,,,,a3ea3b46-854a-4fbc-860d-d010cb8604fa,,,,,INTERNAL,,,0.0,1.0,0.0,False,,,2025-07-21 11:11:32.185275+00:00,9505.0,9504.0,238.0,236.0
7059,,,COMPLETED,,,,,,,2025-07-21 11:11:32.774314+00:00,2025-07-21 11:11:32.780326+00:00,,,,,,,,,,260.41,,,,,,,,,,,24b793f0-af7a-462d-a40f-5ad46ed087fb,,,,,INTERNAL,,,0.0,1.0,0.0,False,,,2025-07-21 11:11:32.048856+00:00,9493.0,9492.0,237.0,236.0
7060,,,COMPLETED,,,,,,,2025-07-21 11:11:32.781568+00:00,2025-07-21 11:11:32.786735+00:00,,,,,,,,,,86.1,,,,,,,,,,,7699654d-0298-4d73-a41e-e5191b8e7a51,,,,,INTERNAL,Mission speak project form have.,,0.0,1.0,0.0,False,,,2025-07-21 11:11:32.891177+00:00,9495.0,9494.0,236.0,235.0
7061,,,COMPLETED,,,,,,,2025-07-21 11:11:32.787906+00:00,2025-07-21 11:11:32.793030+00:00,,,,,,,,,,1043.1,,,,,,,,,,,f6c9031a-fdbb-4cc2-98c8-332afcff3e34,,,,,INTERNAL,Four future coach thought.,,0.0,1.0,0.0,False,,,2025-07-21 11:11:32.518152+00:00,9497.0,9496.0,237.0,235.0
7062,,,COMPLETED,,,,,,,2025-07-21 11:11:32.794203+00:00,2025-07-21 11:11:32.799328+00:00,,,,,,,,,,255.14,,,,,,,,,,,6db5ee8f-f9da-431c-8f3a-ce4263b4ed92,,,,,INTERNAL,,,0.0,1.0,0.0,False,,,2025-07-21 11:11:32.021060+00:00,9499.0,9498.0,235.0,238.0
7063,,,COMPLETED,,,,,,,2025-07-21 11:11:32.800385+00:00,2025-07-21 11:11:32.805292+00:00,,,,,,,,,,32.03,,,,,,,,,,,232a9831-4e55-4696-936d-9786d65953aa,,,,,INTERNAL,,,0.0,1.0,0.0,False,,,2025-07-21 11:11:32.306991+00:00,9501.0,9500.0,238.0,235.0
7064,,,PENDING,,,,,,,2025-07-21 11:11:32.806403+00:00,2025-07-21 11:11:32.806407+00:00,,,,,,,,,,49.16,,,,,,,,,,,bf39f2e8-c1ea-4f05-a178-77e7579141b0,,,,,INTERNAL,Long measure what top turn.,,0.0,1.0,0.0,False,,,,,,235.0,238.0
7065,,,PENDING,,,,,,,2025-07-21 11:11:32.807323+00:00,2025-07-21 11:11:32.807328+00:00,,,,,,,,,,371.97,,,,,,,,,,,30384186-af12-4e27-89de-67ee74a119df,,,,,INTERNAL,,,0.0,1.0,0.0,False,,,,,,235.0,238.0
7070,,,PENDING,,,,,,,2025-07-21 11:11:32.822775+00:00,2025-07-21 11:11:32.822778+00:00,,,,,,,,,,206.58,,,,,,,,,,,200813fb-175d-4bcb-bf58-1b9f5e05c5be,VSIO05364810316478,Danielle Mcgee,Pitts-Smith,034035300,ACH,With pretty behavior truth.,,0.0,1.0,24.0,False,,,,,,238.0,
